,weather_main,weather,wind
128,dry,"Clear, Air Temp: 20°C",False
129,dry,Fine; air temperature 22 °C (72 °F),False
130,dry,Mostly fine and humid with temperatures reaching a maximum of 24.1 °C (75.4 °F),False
131,dry,"Mainly Fine, Air Temp: 18°C",False
132,changing,"Dry/Wet, Air Temp: 21°C",False
133,dry,"Warm and sunny, Air Temp: 25°C",False
134,dry,"Fine, Air Temp: 28°C",False
135,dry,"Partially cloudy, hot and sunny, Air Temp: 28 °C (82 °F)",False
136,dry,"Cloudy, Air: 17 °C (63 °F), Track 25 °C (77 °F)",False
137,dry,"Sunny, hot, dry 23°C",False
138,dry,Sunny with temperatures reaching up to 26.7 °C (80.1 °F);,False
139,dry,"Sunny, Air: 26 °C (79 °F), Track 30 °C (86 °F)",False
140,dry,"Cloudy, sunny later",False
141,changing,"Rain and Thunderstorms at start, dry later; Air Temp at start: 32 °C (90 °F)",False
142,changing,"Dry first, rain and thunderstorms later; Air temp: 25–30 °C (77–86 °F)",False
143,dry,"Sunny. Air Temp: 14 °C (57 °F), Track 26 °C (79 °F)",False
144,dry,"Overcast, Mild, Dry, Air Temp: 18°C",False
145,dry,"Sunny, Air: 18 to 19 °C (64 to 66 °F), Track 18 to 32 °C (64 to 90 °F)",False
146,dry,"Warm and Sunny, Air Temp: 23 °C (73 °F), Track 36 to 39 °C (97 to 102 °F)",False
147,dry,Sunny,False
148,dry,"Sunny, mild, dry, Air Temp: 21°C",False
149,dry,Sunny,False
150,dry,"Partially cloudy, mild, dry, Air Temp: 16 °C (61 °F), Track 27 °C (81 °F)",False
151,dry,"Partially cloudy, very hot, dry",False
152,dry,"Hot, dry and partially cloudy",False
153,dry,"Overcast, mild, dry, Air Temp: 12 to 16 °C (54 to 61 °F)",False
154,dry,"Sunny, partly cloudy, Air: 19 to 20 °C (66 to 68 °F), Track 26 °C (79 °F)",False
155,dry,"Sunny, cool, Air: 19–21 °C (66–70 °F);",False
156,dry,"Cloudy, mild, dry, air temp: 24°C",False
157,dry,"Sunny,",False
158,dry,"Sunny, Air: 22 °C (72 °F), Track: 35 °C (95 °F)",False
159,dry,"Overcast, mild, dry; 16 °C (61 °F)",False
160,dry,"Sunny, mild, dry, Air Temp: 10 °C (50 °F)",False
161,dry,"Sunny, Mild, Dry",False
162,changing,"Dry at first, rain later on, Air: 11 °C (52 °F), Track: 12 °C (54 °F)",False
163,dry,Sunny,False
164,changing,"Cloudy and raining; Air 17 °C (63 °F),",False
165,dry,"Sunny, dry, Air Temp: 27°C",False
166,dry,"Partially cloudy, dry",False
167,changing,Dry/Wet,False
168,dry,"Partially cloudy, very hot, dry",False
169,changing,"Wet at start, drying, Air &amp; track temperature; 15 °C (59 °F)",False
170,dry,Sunny with temperatures reaching up to 29 °C (84 °F),False
171,dry,"Cloudy, drying, Air 12 °C (54 °F);",False
172,changing,Dry/wet,False
173,dry,"Overcast, Very hot, Dry",False
174,dry,Sunny and dry with temperatures reaching up to 19 °C (66 °F),False
175,dry,"Sunny, hot, dry 25 °C (77 °F)",False
176,dry,"Sunny, mild, dry, 23 °C",False
177,dry,"Sunny, hot, dry",False
178,dry,"Cloudy, hot, dry 22 °C (72 °F)",False
179,dry,Hot with temperatures approaching 31.0 °C (87.8 °F),False
180,changing,"Overcast, mild, dry at first, rain later on",False
181,dry,"Sunny, mild, dry",False
182,dry,"Overcast, mild, dry",False
183,dry,"Partially cloudy, very hot, dry",False
184,dry,"Partially cloudy, hot, dry, Air: 25 °C (77 °F), Track 37 °C (99 °F)",False
185,dry,"Partially cloudy, mild, dry",False
186,dry,Hot and dry with temperatures reaching up to 30 °C (86 °F),False
187,changing,Wet/Dry,False
188,dry,"Cloudy, hot, dry",False
189,dry,"Overcast, mild, dry",False
190,dry,"Clear with maximum temperatures reaching 24 degrees at the start, increasing to 30 degrees by the end of the race.",False
191,dry,"Mostly cloudy, 31 °C (88 °F)",False
192,dry,Cloudy with variable levels of dryness; temperatures reaching up to 19 °C (66 °F),False
